Parc,Sub-P,NumAr,x_rev,y,x,DAP,Prod.,Ambiente,copa,Observacao
1,5,370,205,347,-45,41.8,1,Transição,co-dominante,
4,7,140,305,350,-45,14.5,0,Baixio,suprimida,
4,7,144,305,350,-45,38.8,1,Baixio,co-dominante,
1,2,63,55,350,-45,42,1,Baixio,co-dominante,
2,7,230,305,356,-45,29.5,1,Baixio,intermediaria,
2,8,232,355,361,-45,29,1,Terra Firme,intermediaria,
"2,4,85,155,363,-45,24.3,0,Terra Firme,co-dominante,""copa quebrada, rebrotando"""
1,6,234,255,365,-45,50,1,Baixio,co-dominante,alta
2,6,154,255,367,-45,16.5,0,Transição,intermediaria,
1,5,223,205,380,-45,10.5,0,Baixio,suprimida,
1,4,147,155,380,-45,17,0,Baixio,co-dominante,intermediaria por cípo
3,5,220,205,383,-45,15.6,0,Baixio,suprimida,
3,1,46,5,395,-45,11.4,0,Terra Firme,suprimida,
2,4,81,155,399,-45,15.2,0,Terra Firme,intermediaria,
1,8,298,356,45,-44,15.9,0,Terra Firme,intermediaria,** cípo dominante
3,2,56,56,50,-44,11.1,0,Baixio,suprimida,
3,4,163,156,50,-44,18.6,0,Terra Firme,intermediaria,
4,8,177,356,50,-44,25.6,1,Terra Firme,co-dominante,
1,6,419,256,93,-44,25.2,1,Baixio,co-dominante,suprimida por cípo
3,5,259,206,138,-44,13.6,0,Transição,intermediaria,
3,4,188,156,176,-44,28.1,1,Baixio,co-dominante,
3,4,190,156,188,-44,17.6,0,Baixio,co-dominante,
2,6,171,256,198,-44,20.3,0,Terra Firme,intermediaria,
3,5,239,206,203,-44,17.6,0,Baixio,intermediaria,
1,2,71,56,215,-44,41,1,Terra Firme,co-dominante,
3,7,322,306,248,-44,23.7,0,Baixio,intermediaria,
4,2,35,56,253,-44,34.4,1,Terra Firme,co-dominante,
2,3,70,106,254,-44,31.5,1,Terra Firme,co-dominante,cípo
4,8,162,356,260,-44,23,1,Transição,co-dominante,
4,4,68,156,270,-44,13.7,0,Terra Firme,intermediaria,cípo
3,4,200,156,288,-44,10,0,Baixio,suprimida,
3,8,375,356,326,-44,12.3,0,Terra Firme,intermediaria,
2,8,240,356,330,-44,12.8,0,Terra Firme,intermediaria,
3,8,376,356,338,-44,11.9,0,Terra Firme,suprimida,
3,4,214,156,375,-44,15.5,0,Baixio,suprimida,
1,8,383,356,394,-44,27.8,1,Terra Firme,intermediaria,co-dominante ?
3,3,159,107,1,-43,11.5,0,Baixio,suprimida,
3,3,158,107,19,-43,27.6,1,Baixio,co-dominante,suprimida por cípo
3,3,156,107,28,-43,24.5,0,Baixio,co-dominante,suprimida por cípo
3,3,157,107,36,-43,11.1,0,Baixio,suprimida,
3,7,405,307,55,-43,18.7,0,Transição,intermediaria,suprimida por cípo
